#device_name,primaryDeviceCount,GPS coordinates
AP3624950048,631,"-37.66825,175.30108"
AP3624950050,785,"-37.877966,175.212096"
AP3624950049,554,"-37.853325,175.302044"
AP3624950044,1446,"-37.742394,175.141658"
AP3624950046,509,"-37.771457,175.452473"
AP3624950047,1498,"-37.787462,175.30123"
AP3624950043,4,"-37.677672,174.9687"
AP3624950041,180,"-37.909203,174.801731"
AP3624950045,456,"-37.827971,175.376981"
AP3624950042,655,"-37.716804,175.402603"
AP3123950064,1773,"-37.793637,175.243148"
AP3123950084,102,"-37.675622,175.062007"
AP3123950085,868,"-37.77388975,175.2946692"
AP3123950117,815,"-37.763274,175.278314"
AP3123950097,1744,"-37.667789,175.14682"
AP3123950115,1521,"-37.79068978,175.3181392"
AP3123950044,57,"-37.871686,175.029382"
AP3123950034,1217,"-37.824411,175.283612"
AP3123950114,1396,"-37.7811062,175.2422722"
AP3123950113,77,"-37.25011,175.226921"
AP3123950107,1272,"-37.7935055,175.2673693"
AP3123950106,176,"-37.354691,175.276759"
AP3123950116,1837,"-37.732955,175.269893"
AP5221950014,1306,"-37.8197875,175.3005043"
AP5221950027,1232,"-37.7527921,175.2675966"
AP5221950013,505,"-37.804292,175.350958"
AP5221950018,1259,"-37.76426962,175.2621088"
AP5221950023,1264,"-37.8001518,175.247135"
AP5221950032,1843,"-37.811238,175.279076"
AP5221950022,1237,"-37.79429545,175.3024331"
AP5221950012,1894,"-37.7754471,175.2554673"
AP5221950029,1380,"-37.7702252,175.2823849"
AP5221950025,1426,"-37.8149551,175.2876032"
AP5221950010,901,"-37.80206489,174.8692299"
AP5221950019,2088,"-37.765234,175.299252"
AP5221950009,1043,"-37.7940728,175.2798765"
AP5221950031,1779,"-37.7398779,175.2319819"
AP5221950020,1502,"-37.72579,175.28878"
AP5221950017,1165,"-37.713557,175.273942"
AP5221950030,763,"-37.7879398,175.2363625"
AP5221950021,1127,"-37.7352729,175.2880813"
AP5221950034,1500,"-37.77819345,175.2699076"
AP5221950028,1340,"-37.7533817,175.2885071"
AP5221950007,1693,"-37.7391589,175.2545859"
AP5221950035,1193,"-37.7268114,175.2332878"
AP5221950026,1735,"-37.548127,175.163627"
AP5221950016,1471,"-37.78184871,175.2241022"
AP5221950024,759,"-37.574351,175.231376"
AP5221950033,843,"-37.66493114,175.1955965"
AP5221950015,1175,"-37.7830158,175.3092628"
AP5221950008,1466,"-37.799326,175.323742"
AP1512389469,1253,"-37.805842,174.886933"
AP1012387881,48,"-37.578507,174.84933"
AP1112388163,1207,"-37.4125,175.127"
AP1012387883,185,"-37.70775,174.924738"
AP1112388154,1253,"-37.7449,175.277"
AP1112388160,665,"-37.633394,175.003249"
AP1112388158,1124,"-37.556929,175.162195"
AP1112388162,1033,"-37.798137,175.152375"
AP1112388155,1400,"-37.810224,175.304655"
AP1112388157,672,"-37.337,175.069"
AP1112388159,393,"-37.700652,175.192796"
AP0912387461,1061,"-37.7686,175.239"
AP1112388161,1028,"-37.8074,175.261"
AP0912387459,341,"-37.731633,175.223068"
AP1112388156,362,"-37.779268,175.386913"
AP1012387877,15,"-37.710127,174.856365"
AP0912387456,91,"-37.28573, 175.302362"
AP0912387462,1520,"-37.718103,175.248922"
AP0912387460,1084,"-37.781612,175.289248"
AP0912387463,1108,"-37.753297,175.255497"
