Meter identifier,Aerial_info,dc_day,dc_month,dc_week,latitude,longitude
M11102,No Aerial,100,100.0115741,100.0496032,-37.81561167,174.9400133
M14948,Aerial installed - Enabled,100,100,100,-37.83018833,175.0254817
M38121,No Aerial,97.91666667,98.72685185,96.97420635,-37.81438167,174.91329
M46601,No Aerial,99.65277778,99.78009259,99.65277778,-37.830542,174.849429
M68357,No Aerial,100,100,100,-37.83431333,174.9824083
M26135,No Aerial,100,99.91898148,100,-37.882215,174.8574183
M57362,No Aerial,100,100,100,-37.88011667,175.0313283
M734,No Aerial,97.22222222,97.67361111,96.62698413,-37.86248667,174.8412317
M31924,No Aerial,100,100,100,-37.84192167,174.8883683
M49743,No Aerial,99.65277778,99.75694444,99.95039683,-37.81096833,174.85831
M40566,No Aerial,100,100.0231481,100.0496032,-37.40832,175.1339667
M29179,No Aerial,100,100.0347222,100,-37.833882,175.192618
M832,No Aerial,80.20833333,87.24537037,86.11111111,-37.901157,174.781773
M34179,No Aerial,100,100,100,-37.741795,174.9751333
M24269,No Aerial,100.3472222,100.0115741,100.0496032,-37.572727,175.057846
M54532,No Aerial,100,99.97685185,100,-37.88685333,174.83186
M64279,No Aerial,100,100,100,-37.851855,175.0554367
M18008,No Aerial,100,100,100,-37.81441333,174.90432
M22606,Aerial Installed - Enabled,100,100,100,-37.87713667,174.8689783
M51666,No Aerial,100,99.91898148,99.95039683,-37.82748167,174.8861533
M63080,No Aerial,98.26388889,99.02777778,99.20634921,-37.556894,175.14591
M571,No Aerial,100,100.0231481,100.0496032,-37.411252,175.15175
M54752,No Aerial,0,0,0,-37.921454,174.840106
M41985,No Aerial,100,99.76851852,99.75198413,-37.4052409,175.1425855
M66957,Aerial Installed - Enabled,100,99.91898148,100,-37.23666853,175.2547061
M16980,No Aerial,100,100,100,-37.8207704,175.2179667
M62827,Aerial Installed - Enabled,100,100,100,-37.522173,175.160481
M5459,No Aerial,100,99.98842593,100,-37.83237013,175.1865476
M22597,No Aerial,100,100,100,-37.81938935,175.2238889
M18960,Aerial Installed - Enabled,0,0,0,-37.82684041,175.2565281
M61432,No Aerial,100,100.0231481,100,-37.560966,175.160053
M38864,No Aerial,100,100.0115741,100,-37.612,175.384449
M36886,No Aerial,100,100.0231481,100,-37.612,175.384449
M40338,No Aerial,100,99.60648148,99.6031746,-37.681768,175.40107
M63839,No Aerial,99.65277778,99.59490741,99.50396825,-37.765958,175.113886
M15703,No Aerial,100,99.98842593,100,-37.77815,175.12944
M47132,No Aerial,100,100,100,-37.44994,175.090463
M26426,No Aerial,100,100.0115741,100.0496032,-37.82795414,175.1982712
M58640,Aerial Installed - Enabled,100,99.96527778,100.0496032,-37.691736,175.149533
M15934,No Aerial,92.36111111,97.41898148,97.76785714,-37.830294,175.203406
M42329,No Aerial,100,100.0231481,100.0496032,-37.83273924,175.2124742
M3309,No Aerial,100,100.0231481,100,-37.83171068,175.2106251
M2685,No Aerial,100,100.0115741,100.0992063,-37.832777,175.209038
M56704,No Aerial,100,100,100,-37.83213268,175.2100718
M12178,No Aerial,100,100,100,-37.83447025,175.1966819
M64056,No Aerial,100,99.4212963,100,-37.297879,175.229265
M19075,No Aerial,100,97.90509259,91.0218254,-37.79497087,175.2036507
M24804,No Aerial,100,99.9537037,100,-37.57935216,175.2285844
M11843,No Aerial,100,99.50231481,99.90079365,-37.289466,175.219885
M66454,No Aerial,100,100.0115741,100,-37.403562,175.14428
M16732,No Aerial,100,100,100,-37.64760562,175.2512711
M49783,No Aerial,100,100,100,-37.64792889,175.2506861
M48318,No Aerial,100,100,100,-37.64859355,175.2499341
M48186,No Aerial,100,100,100.0496032,-37.64635541,175.2529549
M48388,No Aerial,100,100,100,-37.64446412,175.2548706
M25941,No Aerial,100,100,99.95039683,-37.64435257,175.2550384
M43980,No Aerial,100,100.0115741,100,-37.604662,175.164765
M36920,No Aerial,100,99.94212963,100,-37.66761,175.147931
M67266,No Aerial,100,100,100,-37.8276255,175.1955324
M30045,No Aerial,100,100,100,-37.79189842,175.2181925
M11927,No Aerial,100,99.98842593,100,-37.79513006,175.2284215
M59486,No Aerial,100,100.0347222,100,-37.59464,175.3453417
M67016,No Aerial,100,100,100,-37.74869898,175.2920316
M25896,Aerial Installed - Enabled,100,99.31712963,100,-37.921454,174.840106
M26672,No Aerial,100,100,100,-37.79203092,175.2140575
M20918,No Aerial,100,100,100,-37.79926412,175.219434
M45620,No Aerial,100,99.98842593,100,-37.79203092,175.2140575
M21912,No Aerial,100,100,100,-37.83787843,175.192091
M39808,No Aerial,100,100,100.0496032,-37.7935497,175.203643
M66179,No Aerial,100,99.98842593,99.95039683,-37.83272268,175.2106769
M57128,Aerial Installed - Enabled,0,0,0,-37.88614667,174.7656167
M18586,No Aerial,100,100,100,-37.8234834,175.2643521
M66134,No Aerial,100,100.0231481,100.0496032,-37.83795333,175.00582
M25838,No Aerial,100,100,100,-37.550362,175.174663
M52051,No Aerial,100,100,100.0496032,-37.501538,175.319964
M27910,No Aerial,100,100,100,-37.501538,175.319964
M60065,Aerial Installed - Enabled,100,99.98842593,100,-37.71024979,175.1422895
M2309,No Aerial,99.30555556,99.66435185,99.65277778,-37.3860344,175.0903542
M35396,Aerial Installed - Enabled,100,99.98842593,100,-37.806603,174.91256
M38228,Aerial Installed - Enabled,100,100.0231481,100.0992063,-37.855652,174.911549
M8679,Aerial Installed - Enabled,100,100,100,-37.866596,175.028279
M37279,No Aerial,100,100.0115741,99.95039683,-37.82872333,174.978945
M17124,No Aerial,100,100,100,-37.82703833,174.978285
M54546,No Aerial,100,100,100,-37.83153667,174.9984933
