Meter identifier,Aerial_info,dc_day,dc_month,dc_week,latitude,longitude
M22606,Aerial Installed - Enabled,100.0,100.0,100.0,-37.87713667,174.8689783
M66957,Aerial Installed - Enabled,100.0,99.91898148,100.0,-37.23666853,175.2547061
M62827,Aerial Installed - Enabled,100.0,100.0,100.0,-37.522173,175.160481
M18960,Aerial Installed - Enabled,0.0,0.0,0.0,-37.82684041,175.2565281
M58640,Aerial Installed - Enabled,100.0,99.96527778,100.0496032,-37.691736,175.149533
M25896,Aerial Installed - Enabled,100.0,99.31712963,100.0,-37.921454,174.840106
M57128,Aerial Installed - Enabled,0.0,0.0,0.0,-37.88614667,174.7656167
M60065,Aerial Installed - Enabled,100.0,99.98842593,100.0,-37.71024979,175.1422895
M35396,Aerial Installed - Enabled,100.0,99.98842593,100.0,-37.806603,174.91256
M38228,Aerial Installed - Enabled,100.0,100.0231481,100.0992063,-37.855652,174.911549
M8679,Aerial Installed - Enabled,100.0,100.0,100.0,-37.866596,175.028279
M53193,Aerial Installed - Enabled,100.0,100.0,100.0,-37.81945167,174.9600367
M35681,Aerial Installed - Enabled,100.0,100.0231481,100.0496032,-37.826225,174.907145
M29149,Aerial Installed - Enabled,52.77777778,67.22222222,72.81746032,-37.89457833,175.046215
M7201,Aerial Installed - Enabled,0.0,0.0,0.0,-37.828405,175.0436567
M44344,Aerial Installed - Enabled,100.3472222,100.0115741,100.0496032,-37.84523333,175.0305183
M5296,Aerial Installed - Enabled,84.375,66.44675926,73.85912698,-37.85717167,174.9113083
M38065,Aerial Installed - Enabled,100.0,100.0115741,100.0,-37.81511667,174.9279917
M6480,Aerial Installed - Enabled,100.0,98.73842593,100.0,-37.91439833,174.8149583
M47824,Aerial Installed - Enabled,100.0,98.7037037,100.0,-37.927205,174.7906383
M53376,Aerial Installed - Enabled,100.0,97.83564815,100.0,-37.91247,174.789569
M56504,Aerial Installed - Enabled,0.0,0.0,0.0,-37.93336167,174.8522333
M48719,Aerial Installed - Enabled,22.91666667,47.28009259,35.46626984,-37.86391333,174.8907683
M66977,Aerial Installed - Enabled,0.0,0.0,0.0,-37.86673833,174.8358567
M45156,Aerial Installed - Enabled,100.0,100.0115741,100.0,-37.87337333,174.8740817
M20500,Aerial Installed - Enabled,100.0,98.72685185,100.0,-37.91961167,174.8068817
M10865,Aerial Installed - Enabled,100.0,100.0,100.0,-37.87037667,174.869755
M51327,Aerial Installed - Enabled,0.0,0.0,0.0,-37.96103333,174.9228883
M16557,Aerial Installed - Enabled,100.0,100.0,100.0,-37.87216667,174.8656317
M42870,Aerial Installed - Enabled,0.0,0.0,0.0,-37.9053,174.7848017
M33400,Aerial Installed - Enabled,47.22222222,94.07407407,92.46031746,-37.838907,174.848968
M48821,Aerial Installed - Enabled,100.0,100.0231481,100.0,-37.87516,174.873845
M4443,Aerial Installed - Enabled,100.0,99.91898148,100.0,-37.882215,174.8574183
M61513,Aerial Installed - Enabled,100.0,99.35185185,100.0,-37.92281167,174.8437133
M13664,Aerial Installed - Enabled,0.0,0.0,0.0,-37.93125333,174.8524967
M9206,Aerial Installed - Enabled,100.0,82.83564815,99.95039683,-37.74895667,174.971175
M60498,Aerial Installed - Enabled,0.0,0.0,0.0,-37.292899,175.170339
M39392,Aerial Installed - Enabled,100.0,100.0231481,100.0496032,-37.81441333,174.90432
M44769,Aerial Installed - Enabled,100.0,83.03240741,100.0496032,-37.748868,174.971679
M32244,Aerial Installed - Enabled,100.0,100.0231481,100.0496032,-37.606908,175.172977
M7748,Aerial Installed - Enabled,100.0,100.0,100.0,-37.837305,175.0105167
M33625,Aerial Installed - Enabled,100.0,100.0,100.0,-37.87341167,174.8733467
M22390,Aerial Installed - Enabled,100.0,100.0115741,100.0,-37.80869333,174.9531917
M32745,Aerial Installed - Enabled,100.0,99.96527778,100.0,-37.88685333,174.83186
M17983,Aerial Installed - Enabled,100.0,100.0,100.0,-37.70141667,174.9891283
M14087,Aerial Installed - Enabled,0.0,4.386574074,18.50198413,-37.77280333,174.9758733
M24744,Aerial Installed - Enabled,100.0,100.0,100.0,-37.85650833,175.03416
M25486,Aerial Installed - Enabled,100.0,100.0,100.0,-37.80864667,174.9351817
M35924,Aerial Installed - Enabled,100.0,100.0115741,100.0,-37.906625,174.904235
M23339,Aerial Installed - Enabled,100.0,100.0,100.0,-37.88011667,175.0313283
M36256,Aerial Installed - Enabled,100.0,100.0,100.0,-37.84996167,175.04744
M52999,Aerial Installed - Enabled,19.79166667,49.56018519,16.26984127,-37.883199,174.827132
M62916,Aerial Installed - Enabled,100.0,100.0,100.0,-37.864505,175.0341633
M19001,Aerial Installed - Enabled,100.0,100.0115741,100.0,-37.81343333,174.9029233
M13580,Aerial Installed - Enabled,0.0,0.0,0.0,-37.934264,174.856135
M29676,Aerial Installed - Enabled,100.0,98.26388889,100.0,-37.858193,174.906657
M4187,Aerial Installed - Enabled,100.0,99.98842593,100.0,-37.861298,174.860169
M15664,Aerial Installed - Enabled,80.20833333,67.19907407,76.33928571,-37.897479,175.030403
M43274,Aerial Installed - Enabled,100.0,100.0,100.0,-37.851853,175.026723
M30103,Aerial Installed - Enabled,100.0,100.0,100.0,-37.70916079,175.1460335
M7694,Aerial Installed - Enabled,0.0,65.45138889,0.0,-37.80927802,175.1969412
M10966,Aerial Installed - Enabled,100.0,100.0,100.0,-37.889143,175.144799
M9618,Aerial Installed - Enabled,100.0,100.0,100.0,-37.842174,175.116354
M53505,Aerial Installed - Enabled,100.0,100.0,100.0,-37.62117527,175.2646335
M24801,Aerial Installed - Enabled,0.0,0.0,0.0,-37.961075,174.9229533
M55628,Aerial Installed - Enabled,100.0,98.69212963,100.0,-37.7685346,174.8548274
M64120,Aerial Installed - Enabled,100.0,99.80324074,100.0,-37.902229,175.185586
M50473,Aerial Installed - Enabled,100.0,98.51851852,93.9484127,-37.870446,175.133281
M505,Aerial Installed - Enabled,100.0,85.2662037,100.0,-37.745251,174.973837
M6098,Aerial Installed - Enabled,100.0,99.98842593,100.0,-37.57020612,175.0601255
M23185,Aerial Installed - Enabled,100.0,99.98842593,100.0,-37.34672209,175.1843956
M54653,Aerial Installed - Enabled,100.0,94.38657407,94.84126984,-37.65434345,175.0931979
M47787,Aerial Installed - Enabled,0.0,0.0,0.0,-37.32515319,175.174635
M13877,Aerial Installed - Enabled,0.0,16.78240741,0.0,-37.57682944,175.0760851
M20739,Aerial Installed - Enabled,100.0,100.0,100.0,-37.76426655,175.1398623
M6430,Aerial Installed - Enabled,83.33333333,88.92361111,90.72420635,-37.900657,174.783179
M46168,Aerial Installed - Enabled,0.0,0.0,0.0,-37.2476292,175.264862
M26084,Aerial Installed - Enabled,100.0,99.96527778,100.0,-37.20268743,175.2685699
M42775,Aerial Installed - Enabled,100.0,77.61574074,83.38293651,-37.89466667,175.0311183
M3087,Aerial Installed - Enabled,100.3472222,100.0231481,100.0496032,-37.84895333,175.0583433
M20698,Aerial Installed - Enabled,0.0,31.8287037,6.696428571,-37.862065,174.88092
M37961,Aerial Installed - Enabled,100.0,99.98842593,100.0496032,-37.85539667,174.9112533
M58184,Aerial Installed - Enabled,100.0,100.0115741,100.0,-37.85955,174.8944433
M13728,Aerial Installed - Enabled,100.0,98.69212963,100.0,-37.92766167,174.7878017
M27415,Aerial Installed - Enabled,0.0,0.0,0.0,-37.948098,174.906716
M59358,Aerial Installed - Enabled,0.0,4.976851852,21.03174603,-37.777473,174.972686
M26720,Aerial Installed - Enabled,100.0,100.0,100.0,-37.696751,174.989344
M53795,Aerial Installed - Enabled,84.02777778,84.57175926,84.07738095,-37.901157,174.781773
M20075,Aerial Installed - Enabled,100.0,99.46759259,100.0,-37.56588612,175.0251463
M68758,Aerial Installed - Enabled,100.0,99.7337963,100.0496032,-37.67417056,175.3806674
M62197,Aerial Installed - Enabled,100.0,100.0115741,100.0,-37.846996,175.031017
