,Meter identifier,Aerial_info,dc_day,dc_month,dc_week,latitude,longitude
0,M11102,No Aerial,100.0,100.0115741,100.0496032,-37.81561167,174.9400133
1,M14948,Aerial installed - Enabled,100.0,100.0,100.0,-37.83018833,175.0254817
2,M38121,No Aerial,97.91666667,98.72685185,96.97420635,-37.81438167,174.91329
3,M46601,No Aerial,99.65277778,99.78009259,99.65277778,-37.830542,174.849429
4,M68357,No Aerial,100.0,100.0,100.0,-37.83431333,174.9824083
5,M26135,No Aerial,100.0,99.91898148,100.0,-37.882215,174.8574183
6,M57362,No Aerial,100.0,100.0,100.0,-37.88011667,175.0313283
7,M734,No Aerial,97.22222222,97.67361111,96.62698413,-37.86248667,174.8412317
8,M31924,No Aerial,100.0,100.0,100.0,-37.84192167,174.8883683
9,M49743,No Aerial,99.65277778,99.75694444,99.95039683,-37.81096833,174.85831
10,M40566,No Aerial,100.0,100.0231481,100.0496032,-37.40832,175.1339667
11,M29179,No Aerial,100.0,100.0347222,100.0,-37.833882,175.192618
12,M832,No Aerial,80.20833333,87.24537037,86.11111111,-37.901157,174.781773
13,M34179,No Aerial,100.0,100.0,100.0,-37.741795,174.9751333
14,M24269,No Aerial,100.0,100.0115741,100.0496032,-37.572727,175.057846
15,M54532,No Aerial,100.0,99.97685185,100.0,-37.88685333,174.83186
16,M64279,No Aerial,100.0,100.0,100.0,-37.851855,175.0554367
17,M18008,No Aerial,100.0,100.0,100.0,-37.81441333,174.90432
18,M22606,Aerial Installed - Enabled,100.0,100.0,100.0,-37.87713667,174.8689783
19,M51666,No Aerial,100.0,99.91898148,99.95039683,-37.82748167,174.8861533
20,M63080,No Aerial,98.26388889,99.02777778,99.20634921,-37.556894,175.14591
21,M571,No Aerial,100.0,100.0231481,100.0496032,-37.411252,175.15175
23,M41985,No Aerial,100.0,99.76851852,99.75198413,-37.4052409,175.1425855
24,M66957,Aerial Installed - Enabled,100.0,99.91898148,100.0,-37.23666853,175.2547061
25,M16980,No Aerial,100.0,100.0,100.0,-37.8207704,175.2179667
26,M62827,Aerial Installed - Enabled,100.0,100.0,100.0,-37.522173,175.160481
27,M5459,No Aerial,100.0,99.98842593,100.0,-37.83237013,175.1865476
28,M22597,No Aerial,100.0,100.0,100.0,-37.81938935,175.2238889
30,M61432,No Aerial,100.0,100.0231481,100.0,-37.560966,175.160053
