,Meter identifier,Aerial_info,dc_day,dc_month,dc_week,latitude,longitude
93,M29149,Aerial Installed - Enabled,52.77777778,67.22222222,72.81746032,-37.89457833,175.046215
135,M48719,Aerial Installed - Enabled,22.91666667,47.28009259,35.46626984,-37.86391333,174.8907683
162,M33400,Aerial Installed - Enabled,47.22222222,94.07407407,92.46031746,-37.838907,174.848968
229,M52999,Aerial Installed - Enabled,19.79166667,49.56018519,16.26984127,-37.883199,174.827132
453,M29255,No Aerial,64.58333333,82.62731481,79.76190476,-37.62052691,175.2115196
582,M34434,No Aerial,7.291666667,70.86805556,40.27777778,-37.82931167,174.8868
685,M10915,Aerial Installed - Enabled,61.11111111,98.7037037,94.44444444,-37.85678525,175.050248
1019,M48336,No Aerial,65.27777778,69.9537037,76.58730159,-37.881566,175.028422
1093,M50130,Aerial Installed - Enabled,75.0,69.90740741,68.50198413,-37.678223,174.856191
1122,M23224,Aerial Installed - Enabled,38.54166667,48.13657407,72.32142857,-37.6469888,175.0219745
1217,M6407,No Aerial,19.79166667,21.95601852,13.83928571,-37.56434439,175.0249664
1344,M19539,Aerial Installed - Enabled,50.0,77.98611111,70.98214286,-37.62052691,175.2115196
1429,M15273,Aerial Installed - Enabled,78.125,68.77314815,66.96428571,-37.67849989,174.858729
1431,M6779,Aerial Installed - Enabled,78.125,72.07175926,71.23015873,-37.67813985,174.8560002
4154,M3046,Aerial Installed - Enabled,42.36111111,73.00925926,64.03769841,-37.663239,175.096538
4155,M32079,Aerial Installed - Enabled,56.25,78.56481481,79.96031746,-37.672817,175.094292
4156,M66427,Aerial Installed - Enabled,55.55555556,77.37268519,77.77777778,-37.646675,175.081516
4158,M40855,Aerial Installed - Enabled,57.29166667,79.80324074,80.55555556,-37.673757,175.095934
4184,M143,No Aerial,72.91666667,97.53472222,96.13095238,-37.399776,175.097321
4188,M19397,Aerial Installed - Enabled,50.0,93.88888889,85.31746032,-37.58643,175.093806
4389,M22575,Aerial Installed - Enabled,73.95833333,91.05324074,79.26587302,-37.676697,175.090533
4447,M37502,Aerial Installed - Enabled,51.04166667,53.56481481,43.40277778,-37.585708,175.113061
4452,M51287,Aerial Installed - Enabled,70.83333333,65.16203704,74.90079365,-37.45253,175.331457
4453,M44553,Aerial Installed - Enabled,72.91666667,65.47453704,76.53769841,-37.452933,175.329083
4461,M39375,Aerial Installed - Enabled,21.875,60.18518519,49.20634921,-37.431325,175.345315
4497,M28631,Aerial Installed - Enabled,43.75,83.76157407,53.5218254,-37.406394,175.297181
4587,M61204,No Aerial,36.80555556,16.88657407,13.14484127,-37.490392,175.228564
4878,M23794,Aerial Installed - Enabled,56.25,79.89583333,80.05952381,-37.676058,175.09663
